0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 200 267081
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:50:17 +0800] "GET /B2CforBook/header.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:50:17 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:02 +0800] "GET /B2CforBook/index.jsp HTTP/1.1" 200 26480
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 200 267081
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/rev-slider/img/slides/Street-Fashion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/img/transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/rev-slider/img/slides/3303349658_cfaebb811f_o.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:04 +0800] "GET /B2CforBook/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:05 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:05 +0800] "GET /B2CforBook/img/star.png HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:56:06 +0800] "GET /B2CforBook/img/AjaxLoader2.gif HTTP/1.1" 200 36562
